"model"	"gene.flow.intensity.per.generation"	"simulation.replicate"	"number"	"fit_criteria1"	"fit_criteria2"	"fit_criteria3"	"odds_maxdist"	"odds_avgdist"	"FPR_maxdist"	"FPR_avgdist"	"FNR_maxdist"	"FNR_avgdist"	"FDR_maxdist"	"FDR_avgdist"
"4-way"	"10-5 to 10-4"	7	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0112688441900734	0.0106946326867672	0.000125977872357244	0.000125906340495182	1	1	1	1
"4-way"	"10-5 to 10-4"	8	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0135057600295361	0.0122104046300379	0.000164643546721348	0.000159450295107616	1	0.999591920016323	1	0.96969696969697
"4-way"	"10-5 to 10-4"	9	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0160696626744314	0.0142157058248749	0.000137347544225909	0.000137096935011067	1	1	1	1
"4-way"	"10-5 to 10-4"	10	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0150958670004647	0.0135713644210715	0.000177392677430155	0.000177126263583838	1	1	1	1
"2-way"	"10-3 to 10-2"	1	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.167905020246098	0.144684622201672	0.000235876872272674	0.000269718336993796	0.988527276984313	0.987217043941411	0.109090909090909	0.127272727272727
"2-way"	"10-3 to 10-2"	2	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.163524976437323	0.143629134982823	0.000196355639333962	0.000347396456556143	0.985350624399616	0.984681537221177	0.0757575757575758	0.136363636363636
"2-way"	"10-3 to 10-2"	3	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.195557876134629	0.169442916633928	0.000441802554422042	0.000432152117545376	0.981515711645102	0.979132854161836	0.108910891089109	0.108910891089109
"2-way"	"10-3 to 10-2"	4	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.166057318079962	0.14058834839454	0.000275189684318119	0.00030763314747164	0.983901515151515	0.981673960612692	0.0933333333333333	0.106666666666667
"2-way"	"10-3 to 10-2"	5	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.207088793033287	0.172867818591594	0.000244160494831936	0.000237238543355344	0.988799371192769	0.986962488563586	0.0952380952380952	0.0952380952380952
"2-way"	"10-3 to 10-2"	6	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.154146037191532	0.137516329824022	0.000194924174496121	0.000153692461384769	0.985078401618614	0.983235540653814	0.078125	0.0625
"2-way"	"10-3 to 10-2"	7	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.170299674011233	0.145465728674124	0.000471309060916696	0.000461307807634644	0.985239852398524	0.983086680761099	0.157894736842105	0.157894736842105
"2-way"	"10-3 to 10-2"	8	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.190542641840437	0.161189966945363	7.97416370958096e-05	0.000194439043359907	0.987026574597196	0.985765983112183	0.03125	0.078125
"2-way"	"10-3 to 10-2"	9	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.193077665219489	0.162241541353383	0.000120598166907863	0.000195802005012531	0.983551946699979	0.981414433985035	0.0365853658536585	0.0609756097560976
"2-way"	"10-3 to 10-2"	10	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.180130874479477	0.155387303436226	0.000198294665873488	0.00027179188507086	0.982826948480845	0.981009495252374	0.0602409638554217	0.0843373493975904
"2-way"	"10-4 to 10-3"	1	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.19454296308238	0.168592043527974	0	0	0.998964159933706	0.998830682881197	0	0
"2-way"	"10-4 to 10-3"	2	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.156754858346991	0.132536104531214	0	0	0.999004232013941	0.998846929950995	0	0
"2-way"	"10-4 to 10-3"	3	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.179511538613783	0.154871715370901	3.95835807307129e-05	3.87566855282536e-05	0.998676957001102	0.998498498498498	0.142857142857143	0.142857142857143
"2-way"	"10-4 to 10-3"	4	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.176131163197899	0.150761203909201	0	0	0.999096249435156	0.99896694214876	0	0
"2-way"	"10-4 to 10-3"	5	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.160458676235423	0.136608473087061	3.90030812434182e-05	3.82014745769187e-05	0.998784637822071	0.998601789709172	0.166666666666667	0.166666666666667
"2-way"	"10-4 to 10-3"	6	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.156682383860246	0.134194868685337	0	3.78974495016485e-05	0.999259990133202	0.999435187800056	0	0.333333333333333
"2-way"	"10-4 to 10-3"	7	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.174334427785909	0.147506764592192	7.91170536809209e-05	7.73096250483185e-05	0.99931926480599	0.999213836477987	0.4	0.4
"2-way"	"10-4 to 10-3"	8	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.18700810994367	0.161532447224394	0	0	0.99893185216834	0.998789932236205	0	0
"2-way"	"10-4 to 10-3"	9	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.188493172562485	0.158203960935372	0	0	0.999576360940479	0.999508116084604	0	0
"2-way"	"10-4 to 10-3"	10	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.176168667087808	0.152373215736335	0	0	0.998879426266248	0.998730642294999	0	0
"2-way"	"10-5 to 10-2"	1	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.168073801219154	0.145739408473221	3.25977116406428e-05	0.000255795363709033	0.993017843289372	0.99363756033348	0.027027027027027	0.216216216216216
