simulation_replicate	experiment_ID	closest_sources_number_in_experiment	complexity_rotating	closest_sources_number_rotating	p_rotating	complexity_non.rotating	closest_sources_number_non.rotating	p_non.rotating
3	40central	6	4	4	0.569012612	2	2	0.059188513
6	23central	6	not finished	NA	NA	2	2	0.474318118
8	23central	6	not finished	NA	NA	2	2	0.148214112
7	31central	6	not finished	NA	NA	2	2	0.013609785
1	33central	6	not finished	NA	NA	2	2	0.554403742
7	34central	6	not finished	NA	NA	2	2	0.014464945
2	41central	6	not finished	NA	NA	2	2	0.029878124
9	42central	6	not finished	NA	NA	2	2	0.092431727
10	31central	6	not finished	NA	NA	3	2	0.018913359
7	42central	6	not finished	NA	NA	3	3	0.688398629
